date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2026-06-04,457,562,55,36,7,0.4484789008832188,42.5512104283054
2026-06-05,342,671,59,19,10,0.3376110562685094,31.902985074626866
2026-06-08,81,961,26,16,45,0.0777351247600767,7.584269662921349
2026-06-09,761,237,68,57,0,0.7625250501002004,71.38836772983115
2026-06-10,259,748,63,14,17,0.2571996027805363,24.20560747663551
2026-06-11,440,550,74,18,6,0.4444444444444444,41.35338345864661
2026-06-12,808,203,57,42,4,0.7992087042532147,75.65543071161048
2026-06-15,721,276,65,54,4,0.7231695085255767,67.89077212806026
2026-06-16,324,663,74,26,2,0.3282674772036474,30.537229029217723
2026-06-17,631,304,114,42,0,0.6748663101604279,60.15252621544328
2026-06-18,574,395,97,58,3,0.5923632610939112,53.84615384615385
2026-06-22,523,459,73,69,4,0.5325865580448065,49.573459715639814
2026-06-23,236,757,70,17,8,0.2376636455186304,22.201317027281277
2026-06-24,476,496,87,23,4,0.4897119341563786,44.9480642115203
2026-06-25,402,561,87,19,2,0.4174454828660436,38.285714285714285
2026-06-26,75,969,20,7,18,0.0718390804597701,7.048872180451128
2026-06-29,659,322,74,20,5,0.6717635066258919,62.464454976303315
2026-06-30,747,237,66,59,1,0.7591463414634146,71.14285714285714
2026-07-01,417,560,80,35,1,0.4268167860798362,39.45127719962157
2026-07-02,649,323,75,54,1,0.6676954732510288,61.98662846227316
2026-07-03,828,192,48,57,3,0.8117647058823529,77.52808988764045
2026-07-06,534,431,92,30,5,0.5533678756476684,50.52034058656575
2026-07-07,128,892,46,6,26,0.1254901960784313,12.00750469043152
2026-07-08,394,599,69,17,4,0.3967774420946626,37.09981167608286
2026-07-09,411,552,74,22,2,0.4267912772585669,39.63355834136934
2026-07-13,356,653,54,27,16,0.3528245787908821,33.49012229539041
2026-07-14,207,800,50,11,6,0.2055610724925521,19.5837275307474
2026-07-15,893,125,42,36,0,0.8772102161100196,84.24528301886792
2026-07-16,371,597,81,17,7,0.3832644628099173,35.36701620591039
2026-07-17,87,960,23,2,79,0.0830945558739255,8.130841121495328
2026-07-20,377,622,67,10,18,0.3773773773773773,35.36585365853659
2026-07-21,870,142,49,44,2,0.8596837944664032,81.99811498586239
2026-07-22,530,464,68,30,2,0.5331991951710262,49.90583804143126
2026-07-23,375,584,87,7,6,0.3910323253388947,35.85086042065009
2026-07-24,333,645,87,7,10,0.3404907975460122,31.26760563380282
2026-07-27,436,542,96,7,8,0.4458077709611452,40.59590316573557
2026-07-28,96,931,43,2,55,0.0934761441090555,8.97196261682243
2026-07-29,243,777,49,6,64,0.238235294117647,22.73152478952292
2026-07-30,224,775,58,2,25,0.2242242242242242,21.192052980132452
2026-07-31,892,145,37,113,1,0.8601735776277725,83.05400372439479
2026-08-03,648,354,70,64,0,0.6467065868263473,60.44776119402984
2026-08-04,599,397,69,42,0,0.6014056224899599,56.24413145539906
